RxNorm,UMLS
1008465,C2929369
1008466,C2929370
1008460,C2929364
1008461,C2929365
1008462,C2929366
1008463,C2929367
1039198,C2946338
1039199,C2946339
23035,C0057994
23033,C0057992
1747556,C4079830
1747557,C4225059
199924,C0693642
899896,C2740860
899895,C2740859
199928,C0693646
199929,C0693647
899898,C2726043
1099309,C3153464
1099308,C0711341
1099306,C0706351
1099305,C3153463
1099304,C0688477
1099303,C3153462
1099302,C0706350
1099301,C3153461
1099300,C0688476
1160298,C3214670
1160299,C3214671
1160291,C3214663
1160296,C3214668
1160297,C3214669
1160295,C3214667
852659,C0981992
852654,C2701714
852655,C2701715
852656,C2701716
